# x_bohr V_Hartree
7.481296758104782896e-02 2.798490059141456755e-03
1.047381546134662500e-01 5.485040515917180559e-03
1.346633416458855592e-01 9.067107791618247981e-03
1.645885286783048684e-01 1.354469188624459267e-02
1.945137157107232895e-01 1.891779279979604114e-02
2.244389027431425987e-01 2.518641053227291260e-02
2.543640897755610197e-01 3.235054508367483234e-02
2.842892768079803290e-01 4.041019645400223403e-02
3.142144638403996382e-01 4.936536464325490259e-02
3.441396508728180592e-01 5.921604965143255350e-02
3.740648379052373684e-01 6.996225147853575577e-02
4.039900249376557895e-01 8.160397012456387100e-02
4.339152119700750987e-01 9.414120558951760698e-02
4.638403990024935197e-01 1.075739578733962004e-01
4.937655860349128289e-01 1.219022269762004562e-01
5.236907730673321382e-01 1.371260128979299719e-01
5.536159600997505592e-01 1.532453156385842896e-01
5.835411471321698684e-01 1.702601351981643529e-01
6.134663341645882895e-01 1.881704715766691627e-01
6.433915211970075987e-01 2.069763247740997458e-01
6.733167082294269079e-01 2.266776947904556028e-01
7.032418952618453289e-01 2.472745816257361229e-01
7.331670822942646382e-01 2.687669852799425274e-01
7.630922693266830592e-01 2.911549057530735118e-01
7.930174563591023684e-01 3.144383430451304084e-01
8.229426433915216776e-01 3.386172971561126066e-01
8.528678304239400987e-01 3.636917680860193292e-01
8.827930174563594079e-01 3.896617558348520194e-01
9.127182044887778289e-01 4.165272604026092340e-01
9.426433915211971382e-01 4.442882817892924718e-01
9.725685785536164474e-01 4.729448199949010112e-01
1.002493765586034868e+00 5.024968750194339639e-01
1.032418952618454178e+00 5.329444468628929954e-01
1.062344139650872599e+00 5.642875355252763292e-01
1.092269326683291908e+00 5.965261410065859637e-01
1.122194513715711217e+00 6.296602633068207888e-01
1.152119700748129638e+00 6.636899024259799162e-01
1.182044887780548947e+00 6.986150583640652334e-01
1.211970074812967368e+00 7.344357311210748529e-01
1.241895261845386678e+00 7.711519206970107732e-01
1.271820448877805987e+00 8.087636270918719950e-01
1.301745635910224408e+00 8.472708503056572971e-01
1.331670822942643717e+00 8.866735903383690109e-01
1.361596009975062138e+00 9.269718471900048051e-01
1.391521197007481447e+00 9.681656208605670111e-01
1.421446384039900757e+00 1.010254911350054519e+00
1.451371571072319178e+00 1.053239718658466106e+00
1.481296758104738487e+00 1.097120042785804106e+00
1.511221945137156908e+00 1.141895883732066075e+00
1.541147132169576217e+00 1.187567241497254678e+00
1.571072319201995526e+00 1.234134116081368360e+00
1.600997506234413947e+00 1.281596507484406233e+00
1.630922693266833257e+00 1.329954415706370519e+00
1.660847880299251678e+00 1.379207840747258773e+00
1.690773067331670987e+00 1.429356782607073661e+00
1.720698254364090296e+00 1.480401241285813851e+00
1.750623441396508717e+00 1.532341216783477789e+00
1.780548628428928026e+00 1.585176709100068360e+00
1.810473815461346447e+00 1.638907718235582678e+00
1.840399002493765757e+00 1.693534244190024074e+00
1.870324189526185066e+00 1.749056286963390550e+00
1.900249376558603487e+00 1.805473846555680550e+00
1.930174563591022796e+00 1.862786922966897629e+00
1.960099750623441217e+00 1.920995516197038233e+00
1.990024937655860526e+00 1.980099626246105693e+00
2.019950124688279836e+00 2.040099253114098676e+00
2.049875311720698257e+00 2.100994396801014741e+00
2.079800498753116678e+00 2.162785057306856551e+00
2.109725685785536875e+00 2.225471234631626771e+00
2.139650872817955296e+00 2.289052928775318740e+00
2.169576059850373717e+00 2.353530139737936011e+00
